Region,Year,Population,Violent crime3,"Rate per 
100,000","Murder and 
nonnegligent 
manslaughter","Rate per 
100,000","Rape
(revised definition)4","Rate per 
100,000","Rape
(legacy definition)5","Rate per 
100,000",Robbery,"Rate per 
100,000",Aggravated assault,"Rate per 
100,000",Property crime,"Rate per 
100,000",Burglary,"Rate per 
100,000",Larceny-theft,"Rate per 
100,000",Motor vehicle theft,"Rate per 
100,000"
,2016,11614373,34877,300.3,654,5.6,5589,48.1,4141,35.7,12523,107.8,16111,138.7,299357,2577.5,66883,575.9,212807,1832.3,19667,169.3
     Wisconsin,2015,5767891,17549,304.3,240,4.2,1805,31.3,1324,23,5234,90.7,10270,178.1,114171,1979.4,19602,339.8,83572,1448.9,10997,190.7
,2016,5778708,17679,305.9,229,4,1979,34.2,1458,25.2,4706,81.4,10765,186.3,111720,1933.3,19425,336.1,82337,1424.8,9958,172.3
West North Central,2015,21095876,74131,351.4,951,4.5,9559,45.3,6940,32.9,14395,68.2,49226,233.3,517571,2453.4,96632,458.1,377626,1790,43313,205.3
,2016,21185456,76282,360.1,911,4.3,9306,43.9,6881,32.5,14516,68.5,51549,243.3,509769,2406.2,92397,436.1,370238,1747.6,47134,222.5
     Iowa,2015,3121997,8619,276.1,73,2.3,1205,38.6,877,28.1,1050,33.6,6291,201.5,64688,2072,14977,479.7,45328,1451.9,4383,140.4
,2016,3134693,9110,290.6,71,2.3,1247,39.8,922,29.4,1148,36.6,6644,212,65391,2086,15030,479.5,45378,1447.6,4983,159
     Kansas,2015,2906721,11483,395,126,4.3,1684,57.9,1226,42.2,1823,62.7,7850,270.1,80059,2754.3,15619,537.3,57435,1975.9,7005,241
,2016,2907289,11060,380.4,111,3.8,1312,45.1,971,33.4,1671,57.5,7966,274,78367,2695.5,14364,494.1,57066,1962.9,6937,238.6
     Minnesota,2015,5482435,13319,242.9,133,2.4,2321,42.3,1679,30.6,3771,68.8,7094,129.4,121984,2225,19299,352,94704,1727.4,7981,145.6
,2016,5519952,13394,242.6,101,1.8,2348,42.5,1731,31.4,3728,67.5,7217,130.7,117756,2133.3,18606,337.1,90422,1638.1,8728,158.1
     Missouri,2015,6076204,30292,498.5,503,8.3,2573,42.3,1858,30.6,6383,105,20833,342.9,173788,2860.1,34029,560,122749,2020.2,17010,279.9
,2016,6093000,31644,519.4,537,8.8,2554,41.9,1884,30.9,6570,107.8,21983,360.8,170549,2799.1,31710,520.4,120544,1978.4,18295,300.3
     Nebraska,2015,1893765,5167,272.8,62,3.3,885,46.7,648,34.2,994,52.5,3226,170.3,42597,2249.3,6443,340.2,32148,1697.6,4006,211.5
,2016,1907116,5550,291,49,2.6,994,52.1,738,38.7,946,49.6,3561,186.7,43163,2263.3,6444,337.9,31994,1677.6,4725,247.8
     North Dakota,2015,756835,1949,257.5,21,2.8,391,51.7,285,37.7,159,21,1378,182.1,17716,2340.8,3296,435.5,12686,1676.2,1734,229.1
,2016,757952,1903,251.1,15,2,342,45.1,256,33.8,181,23.9,1365,180.1,17402,2295.9,3243,427.9,12195,1608.9,1964,259.1
     South Dakota,2015,857919,3302,384.9,33,3.8,500,58.3,367,42.8,215,25.1,2554,297.7,16739,1951.1,2969,346.1,12576,1465.9,1194,139.2
,2016,865454,3621,418.4,27,3.1,509,58.8,379,43.8,272,31.4,2813,325,17141,1980.6,3000,346.6,12639,1460.4,1502,173.6
South,2015,121039206,509043,420.6,7300,6,47277,39.1,33960,28.1,127149,105,327317,270.4,3393611,2803.7,719098,594.1,2422679,2001.6,251834,208.1
,2016,122319574,526999,430.8,7961,6.5,49246,40.3,35869,29.3,128842,105.3,340950,278.7,3343799,2733.7,684968,560,2391288,1955,267543,218.7
South Atlantic,2015,63192408,256283,405.6,3824,6.1,21620,34.2,15433,24.4,66792,105.7,164047,259.6,1721061,2723.5,352328,557.5,1246078,1971.9,122655,194.1
,2016,63923309,258672,404.7,4077,6.4,22333,34.9,16174,25.3,66402,103.9,165860,259.5,1692669,2648,330122,516.4,1234761,1931.6,127786,199.9
     Delaware,2015,944076,4760,504.2,62,6.6,361,38.2,257,27.2,1240,131.3,3097,328,25545,2705.8,4797,508.1,19555,2071.3,1193,126.4
,2016,952065,4844,508.8,56,5.9,308,32.4,221,23.2,1359,142.7,3121,327.8,26334,2766,5023,527.6,19791,2078.7,1520,159.7
     District of Columbia,2015,670377,8538,1273.6,162,24.2,494,73.7,365,54.4,3746,558.8,4136,617,31444,4690.5,2971,443.2,25208,3760.3,3265,487
,2016,681170,8214,1205.9,139,20.4,532,78.1,401,58.9,3480,510.9,4063,596.5,32716,4802.9,2361,346.6,27382,4019.8,2973,436.5
     Florida,2015,20244914,93625,462.5,1041,5.1,7552,37.3,5396,26.7,21137,104.4,63895,315.6,570270,2816.9,109268,539.7,420341,2076.3,40661,200.8
